16:30:59.763 | T1 | SYSTEM | Inicio do log para o cenario 'Producer-Consumer'.
16:30:59.767 | T1 | ALGO   | Cenario iniciado: Producer-Consumer (1 produtor, 1 consumidor, buffer limitado)
16:30:59.769 | T1 | ALGO   | Recursos inicializados: bufferLimit=5, totalItems=10, emptySlots=5, filledSlots=0
16:30:59.769 | T1 | THREAD | [Main] A criar thread do produtor.
16:30:59.769 | T1 | THREAD | [Main] A criar thread do consumidor.
16:30:59.769 | T1 | THREAD | [Main] A iniciar thread do produtor.
16:30:59.769 | T1 | THREAD | [Main] A iniciar thread do consumidor.
16:30:59.770 | T1 | THREAD | [Main] A aguardar conclusao da thread do produtor (Join).
16:30:59.771 | T4 | THREAD | [Produtor] Thread iniciada e pronta para produzir itens.
16:30:59.771 | T5 | THREAD | [Consumidor] Thread iniciada e pronta para consumir itens.
16:30:59.771 | T4 | SYNC   | [emptySlots] Produtor vai aguardar slot livre para item 1.
16:30:59.771 | T5 | SYNC   | [filledSlots] Consumidor vai aguardar item disponivel (iteracao 1).
16:30:59.772 | T4 | SYNC   | [emptySlots] Produtor obteve slot livre para item 1.
16:30:59.772 | T4 | SYNC   | [mutex] Produtor vai tentar entrar na secao critica para inserir item 1.
16:30:59.772 | T4 | SYNC   | [mutex] Produtor entrou na secao critica para inserir item 1.
16:30:59.773 | T4 | BUFFER | [Buffer] Produtor inseriu item 1. Estado atual=1/5
16:30:59.773 | T4 | SYNC   | [mutex] Produtor saiu da secao critica apos inserir item 1.
16:30:59.773 | T4 | SYNC   | [filledSlots] Produtor sinalizou que existe novo item disponivel (item 1).
16:30:59.773 | T5 | SYNC   | [filledSlots] Consumidor recebeu sinal de item disponivel (iteracao 1).
16:30:59.773 | T5 | SYNC   | [mutex] Consumidor vai tentar entrar na secao critica para remover item (iteracao 1).
16:30:59.773 | T5 | SYNC   | [mutex] Consumidor entrou na secao critica para remover item (iteracao 1).
16:30:59.773 | T5 | BUFFER | [Buffer] Consumidor removeu item 1. Estado atual=0/5
16:30:59.773 | T5 | SYNC   | [mutex] Consumidor saiu da secao critica apos remover item 1.
16:30:59.773 | T5 | SYNC   | [emptySlots] Consumidor sinalizou slot livre apos consumir item 1.
16:30:59.988 | T4 | SYNC   | [emptySlots] Produtor vai aguardar slot livre para item 2.
16:30:59.989 | T4 | SYNC   | [emptySlots] Produtor obteve slot livre para item 2.
16:30:59.989 | T4 | SYNC   | [mutex] Produtor vai tentar entrar na secao critica para inserir item 2.
16:30:59.989 | T4 | SYNC   | [mutex] Produtor entrou na secao critica para inserir item 2.
16:30:59.989 | T4 | BUFFER | [Buffer] Produtor inseriu item 2. Estado atual=1/5
16:30:59.989 | T4 | SYNC   | [mutex] Produtor saiu da secao critica apos inserir item 2.
16:30:59.989 | T4 | SYNC   | [filledSlots] Produtor sinalizou que existe novo item disponivel (item 2).
16:31:00.082 | T5 | SYNC   | [filledSlots] Consumidor vai aguardar item disponivel (iteracao 2).
16:31:00.082 | T5 | SYNC   | [filledSlots] Consumidor recebeu sinal de item disponivel (iteracao 2).
16:31:00.082 | T5 | SYNC   | [mutex] Consumidor vai tentar entrar na secao critica para remover item (iteracao 2).
16:31:00.082 | T5 | SYNC   | [mutex] Consumidor entrou na secao critica para remover item (iteracao 2).
16:31:00.082 | T5 | BUFFER | [Buffer] Consumidor removeu item 2. Estado atual=0/5
16:31:00.083 | T5 | SYNC   | [mutex] Consumidor saiu da secao critica apos remover item 2.
16:31:00.083 | T5 | SYNC   | [emptySlots] Consumidor sinalizou slot livre apos consumir item 2.
16:31:00.205 | T4 | SYNC   | [emptySlots] Produtor vai aguardar slot livre para item 3.
16:31:00.205 | T4 | SYNC   | [emptySlots] Produtor obteve slot livre para item 3.
16:31:00.205 | T4 | SYNC   | [mutex] Produtor vai tentar entrar na secao critica para inserir item 3.
16:31:00.205 | T4 | SYNC   | [mutex] Produtor entrou na secao critica para inserir item 3.
16:31:00.206 | T4 | BUFFER | [Buffer] Produtor inseriu item 3. Estado atual=1/5
16:31:00.206 | T4 | SYNC   | [mutex] Produtor saiu da secao critica apos inserir item 3.
16:31:00.206 | T4 | SYNC   | [filledSlots] Produtor sinalizou que existe novo item disponivel (item 3).
16:31:00.390 | T5 | SYNC   | [filledSlots] Consumidor vai aguardar item disponivel (iteracao 3).
16:31:00.391 | T5 | SYNC   | [filledSlots] Consumidor recebeu sinal de item disponivel (iteracao 3).
16:31:00.391 | T5 | SYNC   | [mutex] Consumidor vai tentar entrar na secao critica para remover item (iteracao 3).
16:31:00.391 | T5 | SYNC   | [mutex] Consumidor entrou na secao critica para remover item (iteracao 3).
16:31:00.391 | T5 | BUFFER | [Buffer] Consumidor removeu item 3. Estado atual=0/5
16:31:00.391 | T5 | SYNC   | [mutex] Consumidor saiu da secao critica apos remover item 3.
16:31:00.391 | T5 | SYNC   | [emptySlots] Consumidor sinalizou slot livre apos consumir item 3.
16:31:00.422 | T4 | SYNC   | [emptySlots] Produtor vai aguardar slot livre para item 4.
16:31:00.422 | T4 | SYNC   | [emptySlots] Produtor obteve slot livre para item 4.
16:31:00.422 | T4 | SYNC   | [mutex] Produtor vai tentar entrar na secao critica para inserir item 4.
16:31:00.422 | T4 | SYNC   | [mutex] Produtor entrou na secao critica para inserir item 4.
16:31:00.422 | T4 | BUFFER | [Buffer] Produtor inseriu item 4. Estado atual=1/5
16:31:00.422 | T4 | SYNC   | [mutex] Produtor saiu da secao critica apos inserir item 4.
16:31:00.422 | T4 | SYNC   | [filledSlots] Produtor sinalizou que existe novo item disponivel (item 4).
16:31:00.638 | T4 | SYNC   | [emptySlots] Produtor vai aguardar slot livre para item 5.
16:31:00.638 | T4 | SYNC   | [emptySlots] Produtor obteve slot livre para item 5.
16:31:00.638 | T4 | SYNC   | [mutex] Produtor vai tentar entrar na secao critica para inserir item 5.
16:31:00.638 | T4 | SYNC   | [mutex] Produtor entrou na secao critica para inserir item 5.
16:31:00.638 | T4 | BUFFER | [Buffer] Produtor inseriu item 5. Estado atual=2/5
16:31:00.638 | T4 | SYNC   | [mutex] Produtor saiu da secao critica apos inserir item 5.
16:31:00.638 | T4 | SYNC   | [filledSlots] Produtor sinalizou que existe novo item disponivel (item 5).
